NDC,QUMI Code,Package Count,Supplier,Description,Dosage Form,Dosage Route,Strength,Measure,ANDA,Generic Description,DEA
70069-0172-10,1037g6n,10,"Somerset Therapeutics, LLC",Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10.0,mg,ANDA206503,CYANOCOBALAMIN,
70069-0172-25,1037g6n,25,"Somerset Therapeutics, LLC",Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10.0,mg,ANDA206503,CYANOCOBALAMIN,
70710-1664-06,1037g6n,10,Zydus Pharmaceuticals USA Inc.,Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10.0,mg,ANDA214655,CYANOCOBALAMIN,
70710-1664-07,1037g6n,25,Zydus Pharmaceuticals USA Inc.,Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10.0,mg,ANDA214655,CYANOCOBALAMIN,
70771-1689-06,1037g6n,10,Zydus Lifesciences Limited,Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10.0,mg,ANDA214655,CYANOCOBALAMIN,
70771-1689-07,1037g6n,25,Zydus Lifesciences Limited,Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10.0,mg,ANDA214655,CYANOCOBALAMIN,
00703-0686-01,10bskgs,1,"Teva Parenteral Medicines, Inc.",Treprostinil 5 mg/mL Vial [Remodulin],Vial,INJECTABLE,100.0,mg,ANDA206648,TREPROSTINIL,
00781-3427-80,10bskgs,1,Sandoz Inc,Treprostinil 5 mg/mL Vial [Remodulin],Vial,INJECTABLE,100.0,mg,ANDA203649,TREPROSTINIL,
42023-0208-01,10bskgs,1,"Par Pharmaceutical, Inc.",Treprostinil 5 mg/mL Vial [Remodulin],Vial,INJECTABLE,100.0,mg,ANDA209382,TREPROSTINIL,
43598-0647-11,10bskgs,1,"Dr.Reddy's Laboratories Inc.,",Treprostinil 100 mg Vial,Vial,INJECTABLE,100.0,mg,ANDA210214,TREPROSTINIL,
62332-0516-20,10bskgs,1,Alembic Pharmaceuticals Inc.,Treprostinil 5 mg/mL Vial [Remodulin],Vial,INJECTABLE,100.0,mg,ANDA211574,TREPROSTINIL,
66302-0105-01,10bskgs,1,United Therapeutics Corporation,Treprostinil 5 mg/mL Vial [Remodulin],Vial,INJECTABLE,100.0,mg,NDA021272,TREPROSTINIL,
00268-0820-10,10dtpnm,1,"ALK-Abello, Inc.",Aspergillus fumigatus allergenic extract 1000 UNT/mL Vial,Vial,INJECTABLE,10000.0,[PNU],BLA103753,ASPERGILLUS FUMIGATUS,
00338-8503-02,10qwcw3,1,Baxter Healthcare Corporation,"2 mL fibrinogen, human 106 mg/mL / thrombin, human 6.5 UNT/mL Prefilled Syringe [Artiss]",Prefilled Syringe,INJECTABLE,173.0; 8.0,mg; [IU],BLA125266,FIBRINOGEN HUMAN; HUMAN THROMBIN,
00338-9637-01,10qwcw3,1,Baxter Healthcare Corporation,"2 mL fibrinogen, human 106 mg/mL / thrombin, human 6.5 UNT/mL Prefilled Syringe [Artiss]",Prefilled Syringe,INJECTABLE,173.0; 8.0,mg; [IU],BLA125266,FIBRINOGEN HUMAN; HUMAN THROMBIN,
00268-8053-10,10y1c0t,1,"ALK-Abello, Inc.",Penicillium chrysogenum var. chrysogenum allergenic extract 40000 UNT/mL Vial,Vial,INJECTABLE,420000.0,[PNU],BLA103753,PENICILLIUM CHRYSOGENUM VAR. CHRYSOGENUM,
00264-7806-10,10yz56j,24,B. Braun Medical Inc.,500 mL sodium chloride 50 mg/mL Container,Container,INJECTABLE,25000.0,mg,NDA019635,SODIUM CHLORIDE,
00338-0056-03,10yz56j,24,Baxter Healthcare Corporation,500 mL sodium chloride 50 mg/mL Bag,Bag,INJECTABLE,25000.0,mg,NDA019022,SODIUM CHLORIDE,
52244-0040-02,1175cyd,2,Endo Pharmaceuticals Inc.,1 mL alprostadil 0.04 mg/mL Cartridge [Edex],Cartridge,INJECTABLE,0.04,mg,NDA020649,ALPROSTADIL,
52244-0040-06,1175cyd,6,Endo Pharmaceuticals Inc.,1 mL alprostadil 0.04 mg/mL Cartridge [Edex],Cartridge,INJECTABLE,0.04,mg,NDA020649,ALPROSTADIL,
65044-2039-03,118npy6,1,Jubilant HollisterStier LLC,"Oak mix 600000.0; 600000.0; 600000 [PNU]; [PNU]; [PNU] Vial [Pollens - Trees, Oak Mix]",Vial,INJECTABLE,600000.0; 600000.0; 600000.0,[PNU]; [PNU]; [PNU],BLA103888,QUERCUS ALBA POLLEN; QUERCUS RUBRA POLLEN; QUERCUS VIRGINIANA POLLEN,
14537-0828-35,11gw2kr,24,"Terumo BCT, Ltd","Dextrose monohydrate, trisodium citrate dihydrate, sodium chloride, sodium phosphate, monobasic, monohydrate, citric acid monohydrate, and adenine 105.0; 147.0; 3850.0; 1435.0; 980.0; 2065 mg; mg; mg; mg; mg; mg Bag [Additive Formula 3]",Bag,INJECTABLE,105.0; 147.0; 3850.0; 1435.0; 980.0; 2065.0,mg; mg; mg; mg; mg; mg,BN001214,"ADENINE; CITRIC ACID MONOHYDRATE; DEXTROSE MONOHYDRATE; SODIUM CHLORIDE; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE; TRISODIUM CITRATE DIHYDRATE",
14537-0834-03,11gw2kr,24,"Terumo BCT, Ltd","Dextrose monohydrate, trisodium citrate dihydrate, sodium chloride, sodium phosphate, monobasic, monohydrate, citric acid monohydrate, and adenine 105.0; 147.0; 3850.0; 1435.0; 980.0; 2065 mg; mg; mg; mg; mg; mg Bag [Additive Formula 3]",Bag,INJECTABLE,105.0; 147.0; 3850.0; 1435.0; 980.0; 2065.0,mg; mg; mg; mg; mg; mg,BN001214,"ADENINE; CITRIC ACID MONOHYDRATE; DEXTROSE MONOHYDRATE; SODIUM CHLORIDE; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE; TRISODIUM CITRATE DIHYDRATE",
24571-0123-02,11j3cpt,2,Baxter Healthcare Corporation,5000 mL sodium chloride 5.03 mg/mL / sodium citrate 5.29 mg/mL Bag [Regiocit],Bag,INJECTABLE,25150.0; 26450.0,mg; mg,,"SODIUM CHLORIDE; SODIUM CITRATE, UNSPECIFIED FORM",
22840-5451-05,11z2vej,1,"Greer Laboratories, Inc.",Valley oak pollen extract 50 mg/mL Bottle,Bottle,INJECTABLE,250.0,mg,BLA101833,QUERCUS LOBATA POLLEN,
73594-9305-01,1207vjc,1,Pharmacosmos Therapeutics Inc.,5 mL ferric derisomaltose 100 mg/mL Vial [Monoferric],Vial,INJECTABLE,500.0,mg,NDA208171,FERRIC DERISOMALTOSE,
22840-5771-05,12e1tzz,1,"Greer Laboratories, Inc.",Southern flounder allergenic extract 50 mg/mL Bottle,Bottle,INJECTABLE,250.0,mg,BLA101833,SOUTHERN FLOUNDER,
73554-2111-01,12gsyzc,1,"bluebird bio, Inc.",20 mL elivaldogene autotemcel 30000000 CELLS/mL Suspension [Skysona],Suspension,INJECTABLE,30000000.0,,BLA125755,ELIVALDOGENE AUTOTEMCEL,
22840-1404-02,12paqfz,1,"Greer Laboratories, Inc.",Red alder pollen extract 100 mg/mL Vial,Vial,INJECTABLE,1000.0,mg,BLA101833,ALNUS RUBRA POLLEN,
65044-1021-02,12paqfz,1,Jubilant HollisterStier LLC,Red alder pollen extract 100 mg/mL Vial,Vial,INJECTABLE,1000.0,mg,BLA103888,ALNUS RUBRA POLLEN,
22840-1533-02,12vd32p,1,"Greer Laboratories, Inc.",Pyrethrum allergenic extract 100 mg/mL Vial,Vial,INJECTABLE,1000.0,mg,BLA101833,PYRETHRUM EXTRACT,
22840-1678-01,12vfjw7,1,"Greer Laboratories, Inc.",Haematonectria haematococca allergenic extract 1 mg/mL Vial,Vial,INJECTABLE,5.0,mg,BLA101833,HAEMATONECTRIA HAEMATOCOCCA,
22840-5425-05,1309zkx,1,"Greer Laboratories, Inc.",Bald cypress pollen extract 12.5 mg/mL Bottle,Bottle,INJECTABLE,62.5,mg,BLA101833,TAXODIUM DISTICHUM POLLEN,
22840-9672-02,13feceq,1,"Greer Laboratories, Inc.",Mucor circinelloides f. lusitanicus allergenic extract 50 mg/mL / Mucor plumbeus allergenic extract 50 mg/mL Vial,Vial,INJECTABLE,500.0; 500.0,mg; mg,BLA101833,MUCOR CIRCINELLOIDES F. LUSITANICUS; MUCOR PLUMBEUS,
00268-1364-10,13hgjdt,1,"ALK-Abello, Inc.",Redroot pigweed pollen extract 100 mg/mL Vial,Vial,INJECTABLE,1000.0,mg,BLA103753,AMARANTHUS RETROFLEXUS POLLEN,
00641-0476-25,13hmzzk,25,Hikma Pharmaceuticals USA Inc.,Phenobarbital 65 mg/mL Vial,Vial,INJECTABLE,65.0,mg,,PHENOBARBITAL SODIUM,CIV
54288-0136-10,13hmzzk,10,BPI Labs LLC,Phenobarbital 65 mg/mL Vial,Vial,INJECTABLE,65.0,mg,,PHENOBARBITAL SODIUM,CIV
54288-0136-25,13hmzzk,25,BPI Labs LLC,Phenobarbital sodium 65 mg Vial,Vial,INJECTABLE,65.0,mg,,PHENOBARBITAL SODIUM,CIV
63629-1998-01,13hmzzk,25,Bryant Ranch Prepack,Phenobarbital 65 mg/mL Vial,Vial,INJECTABLE,65.0,mg,,PHENOBARBITAL SODIUM,CIV
63629-2008-01,13hmzzk,3,Bryant Ranch Prepack,Phenobarbital 65 mg/mL Vial,Vial,INJECTABLE,65.0,mg,,PHENOBARBITAL SODIUM,CIV
72162-1329-02,13hmzzk,25,Bryant Ranch Prepack,Phenobarbital sodium 65 mg Vial,Vial,INJECTABLE,65.0,mg,,PHENOBARBITAL SODIUM,CIV
72162-1329-04,13hmzzk,3,Bryant Ranch Prepack,Phenobarbital sodium 65 mg Vial,Vial,INJECTABLE,65.0,mg,,PHENOBARBITAL SODIUM,CIV
75834-0288-25,13hmzzk,25,"Nivagen Pharmaceuticals, Inc.",Phenobarbital 65 mg/mL Vial,Vial,INJECTABLE,65.0,mg,,PHENOBARBITAL SODIUM,CIV
00075-2915-01,13pznhy,10,Sanofi-Aventis U.S. LLC,1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,NDA020164,ENOXAPARIN SODIUM,
00075-8025-10,13pznhy,10,Sanofi-Aventis U.S. LLC,1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,NDA020164,ENOXAPARIN SODIUM,
00548-5607-00,13pznhy,10,"Amphastar Pharmaceuticals, Inc.",1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,ANDA076684,ENOXAPARIN SODIUM,
00703-8510-23,13pznhy,10,"Teva Parenteral Medicines, Inc.",1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,ANDA076726,ENOXAPARIN SODIUM,
00781-3299-69,13pznhy,10,Sandoz Inc,1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,ANDA077857,ENOXAPARIN SODIUM,
00781-3655-69,13pznhy,10,Sandoz Inc,1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,ANDA077857,ENOXAPARIN SODIUM,
00955-1015-10,13pznhy,10,Winthrop U.S.,1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,NDA020164,ENOXAPARIN SODIUM,
11797-0763-06,13pznhy,10,Italfarmaco SpA,1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,ANDA076726,ENOXAPARIN SODIUM,
16714-0066-10,13pznhy,10,NorthStar Rx LLC,1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,ANDA206834,ENOXAPARIN SODIUM,
60505-0798-00,13pznhy,1,Apotex Corp.,1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,ANDA078990,ENOXAPARIN SODIUM,
60505-0798-04,13pznhy,10,Apotex Corp.,1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,ANDA078990,ENOXAPARIN SODIUM,
63323-0537-84,13pznhy,10,"Fresenius Kabi USA, LLC",1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,NDA020164,ENOXAPARIN SODIUM,
63323-0537-94,13pznhy,10,"Fresenius Kabi USA, LLC",1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,NDA020164,ENOXAPARIN SODIUM,
63323-0589-94,13pznhy,10,"Fresenius Kabi USA, LLC",1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,ANDA078990,ENOXAPARIN SODIUM,
68001-0463-42,13pznhy,10,BluePoint Laboratories,1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,ANDA076684,ENOXAPARIN SODIUM,
70710-1763-06,13pznhy,10,Zydus Pharmaceuticals USA Inc.,1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,ANDA076726,ENOXAPARIN SODIUM,
71288-0411-83,13pznhy,10,Meitheal Pharmaceuticals Inc.,1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,ANDA206834,ENOXAPARIN SODIUM,
71288-0438-94,13pznhy,10,Meitheal Pharmaceuticals Inc.,1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,ANDA206834,ENOXAPARIN SODIUM,
71288-0438-96,13pznhy,10,Meitheal Pharmaceuticals Inc.,1 mL enoxaparin sodium 150 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,150.0,mg,ANDA206834,ENOXAPARIN SODIUM,
81952-0132-28,13pznhy,10,Hepalink USA Inc.,Enoxaparin sodium 150 mg/mL Syringe,Syringe,INJECTABLE,150.0,mg/mL,ANDA205660,ENOXAPARIN SODIUM,
81952-0135-06,13pznhy,10,Hepalink USA Inc.,Enoxaparin sodium 150 mg Syringe,Syringe,INJECTABLE,150.0,mg,ANDA205660,ENOXAPARIN SODIUM,
00075-0624-30,13qryj5,10,Sanofi-Aventis U.S. LLC,0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,NDA020164,ENOXAPARIN SODIUM,
00075-8013-10,13qryj5,10,Sanofi-Aventis U.S. LLC,0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,NDA020164,ENOXAPARIN SODIUM,
00548-5601-00,13qryj5,10,"Amphastar Pharmaceuticals, Inc.",0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,ANDA076684,ENOXAPARIN SODIUM,
00703-8530-23,13qryj5,10,"Teva Parenteral Medicines, Inc.",0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,ANDA076726,ENOXAPARIN SODIUM,
00781-3133-63,13qryj5,10,Sandoz Inc,0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,ANDA077857,ENOXAPARIN SODIUM,
00781-3238-63,13qryj5,10,Sandoz Inc,0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,ANDA077857,ENOXAPARIN SODIUM,
00955-1003-10,13qryj5,10,Winthrop U.S.,0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,NDA020164,ENOXAPARIN SODIUM,
11797-0757-06,13qryj5,10,Italfarmaco SpA,0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,ANDA076726,ENOXAPARIN SODIUM,
16714-0006-10,13qryj5,10,NorthStar Rx LLC,0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,ANDA206834,ENOXAPARIN SODIUM,
55154-3540-05,13qryj5,5,"Cardinal Health 107, LLC",0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,ANDA077857,ENOXAPARIN SODIUM,
60505-0791-00,13qryj5,1,Apotex Corp.,0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,ANDA078990,ENOXAPARIN SODIUM,
63323-0533-83,13qryj5,10,"Fresenius Kabi USA, LLC",0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,NDA020164,ENOXAPARIN SODIUM,
63323-0533-93,13qryj5,10,"Fresenius Kabi USA, LLC",0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,NDA020164,ENOXAPARIN SODIUM,
63323-0559-65,13qryj5,10,"Fresenius Kabi USA, LLC",0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,ANDA078990,ENOXAPARIN SODIUM,
63323-0559-93,13qryj5,10,"Fresenius Kabi USA, LLC",0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,ANDA078990,ENOXAPARIN SODIUM,
68001-0457-42,13qryj5,10,BluePoint Laboratories,0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,ANDA076684,ENOXAPARIN SODIUM,
70710-1757-06,13qryj5,10,Zydus Pharmaceuticals USA Inc.,0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,ANDA076726,ENOXAPARIN SODIUM,
71288-0410-81,13qryj5,10,Meitheal Pharmaceuticals Inc.,0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,ANDA206834,ENOXAPARIN SODIUM,
71288-0432-81,13qryj5,10,Meitheal Pharmaceuticals Inc.,0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,ANDA206834,ENOXAPARIN SODIUM,
71288-0432-92,13qryj5,10,Meitheal Pharmaceuticals Inc.,0.3 mL enoxaparin sodium 100 mg/mL Prefilled Syringe [Lovenox],Prefilled Syringe,INJECTABLE,100.0,mg/mL,ANDA206834,ENOXAPARIN SODIUM,
00264-9371-55,13t9rx7,6,B. Braun Medical Inc.,Alanine 7.7 mg/mL / arginine 6 mg/mL / cysteine 0.2 mg/mL / glycine 9 mg/mL / histidine 2.4 mg/mL / isoleucine 9 mg/mL / leucine 11 mg/mL / lysine 6.1 mg/mL / methionine 1 mg/mL / phenylalanine 1 mg/mL / phosphoric acid 1.15 mg/mL / proline 8 mg/mL / serine 5 mg/mL / threonine 4.5 mg/mL / tryptophan 0.66 mg/mL / valine 8.4 mg/mL Container [Hepatamine 8],Container,INJECTABLE,3850.0; 3000.0; 70.0; 4500.0; 1200.0; 4500.0; 5500.0; 3050.0; 500.0; 500.0; 575.0; 4000.0; 2500.0; 2250.0; 330.0; 4200.0,mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg; mg,NDA018676,ALANINE; ARGININE; CYSTEINE HYDROCHLORIDE; GLYCINE; HISTIDINE; ISOLEUCINE; LEUCINE; LYSINE ACETATE; METHIONINE; PHENYLALANINE; PHOSPHORIC ACID; PROLINE; SERINE; THREONINE; TRYPTOPHAN; VALINE,
22840-5723-02,140e1gc,1,"Greer Laboratories, Inc.",Ginger allergenic extract 50 mg/mL Vial,Vial,INJECTABLE,500.0,mg,BLA101833,GINGER,
68982-0347-01,1469kbs,1,Octapharma USA Inc,"Fibrinogen, human 1 mg Bottle [RiaSTAP]",Bottle,INJECTABLE,50.0,mL,BLA125612,,
66288-8100-01,14pssjr,1,SAMSON MEDICAL TECHNOLOGIES LLC,Cefepime 100 mg/mL Injection,Injection,INJECTABLE,100000.0,mg,ANDA209408,CEFEPIME HYDROCHLORIDE,
76420-0306-01,1525a23,1,"Asclemed USA, Inc.","Sodium hyaluronate, lidocaine, isopropyl alcohol 5 mL Pouch [Hyronan]",Pouch,INJECTABLE,5.0,mL,,,
52670-0550-30,154ztj3,1,Mayo Clinic,Sodium fluoride f 18 2745 MCI Vial,Vial,INJECTABLE,2745.0,MCI,ANDA203605,SODIUM FLUORIDE F-18,
00338-0164-01,156bmps,30,Baxter Healthcare Corporation,50 mL sodium chloride 9 mg/mL Bag,Bag,INJECTABLE,225.0,mg,NDA020178,SODIUM CHLORIDE,
00268-0612-10,15ctmhf,1,"ALK-Abello, Inc.",Cottonseed allergenic extract 50 mg/mL Vial,Vial,INJECTABLE,500.0,mg,BLA103753,COTTON SEED,
22840-1555-02,15ctmhf,1,"Greer Laboratories, Inc.",Cottonseed allergenic extract 50 mg/mL Vial,Vial,INJECTABLE,500.0,mg,BLA101833,COTTON SEED,
22840-5509-02,15ctmhf,1,"Greer Laboratories, Inc.",Cottonseed allergenic extract 50 mg/mL Vial,Vial,INJECTABLE,500.0,mg,BLA101833,COTTON SEED,
49702-0213-26,15g5crs,5,ViiV Healthcare Company,20 mL zidovudine 10 mg/mL Vial [Retrovir],Vial,INJECTABLE,200.0,mg,NDA019951,ZIDOVUDINE,
22840-5638-05,15y717p,1,"Greer Laboratories, Inc.",Trichoderma harzianum allergenic extract 25 mg/mL Bottle,Bottle,INJECTABLE,125.0,mg,BLA101833,TRICHODERMA HARZIANUM,
65757-0401-03,1664x2m,1,"Alkermes, Inc.",1.6 mL aripiprazole lauroxil 276 mg/mL Prefilled Syringe [Aristada],Prefilled Syringe,INJECTABLE,441.0,mg,NDA207533,ARIPIPRAZOLE LAUROXIL,
65757-0401-04,1664x2m,1,"Alkermes, Inc.",1.6 mL aripiprazole lauroxil 276 mg/mL Prefilled Syringe [Aristada],Prefilled Syringe,INJECTABLE,441.0,mg,NDA207533,ARIPIPRAZOLE LAUROXIL,
00268-6104-10,16h1n6s,1,"ALK-Abello, Inc.",Avocado allergenic extract 100 mg/mL Vial,Vial,INJECTABLE,1000.0,mg,BLA103753,AVOCADO,
00941-0411-04,16rj1hk,1,Baxter Healthcare Corporation,Calcium chloride 0.00014 mEq/mL / glucose 0.6 mg/mL / magnesium chloride 0.0000245 mEq/mL / sodium chloride 0.00368 mEq/mL / sodium lactate 0.0016 mEq/mL Intraperitoneal Solution [Dianeal PD-2/1.5],Intraperitoneal Solution,INJECTABLE,771.0; 45000.0; 152.4; 16140.0; 13440.0,mg; mg; mg; mg; mg,NDA017512,CALCIUM CHLORIDE; DEXTROSE MONOHYDRATE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,
00941-0426-55,16rj1hk,1,Baxter Healthcare Corporation,Calcium chloride 0.00014 mEq/mL / glucose 0.6 mg/mL / magnesium chloride 0.0000245 mEq/mL / sodium chloride 0.00368 mEq/mL / sodium lactate 0.0016 mEq/mL Intraperitoneal Solution [Dianeal PD-2/1.5],Intraperitoneal Solution,INJECTABLE,771.0; 45000.0; 152.4; 16140.0; 13440.0,mg; mg; mg; mg; mg,NDA020163,CALCIUM CHLORIDE; DEXTROSE MONOHYDRATE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,
74676-5904-01,16trkha,1,Verity Pharmaceuticals Inc.,Triptorelin 11.25 mg Syringe [Trelstar],Syringe,INJECTABLE,2.0,mL,NDA021288,,
16729-0276-67,16ws602,10,"Accord Healthcare, Inc.",20 mL fluorouracil 50 mg/mL Vial,Vial,INJECTABLE,1000.0,mg,ANDA040798,FLUOROURACIL,
63323-0117-20,16ws602,10,"Fresenius Kabi USA, LLC",20 mL fluorouracil 50 mg/mL Vial,Vial,INJECTABLE,1000.0,mg,ANDA040278,FLUOROURACIL,
63323-0117-28,16ws602,10,"Fresenius Kabi USA, LLC",20 mL fluorouracil 50 mg/mL Vial,Vial,INJECTABLE,1000.0,mg,ANDA040278,FLUOROURACIL,
68001-0266-31,16ws602,10,BluePoint Laboratories,20 mL fluorouracil 50 mg/mL Vial,Vial,INJECTABLE,1000.0,mg,ANDA040798,FLUOROURACIL,
68001-0524-31,16ws602,10,BluePoint Laboratories,20 mL fluorouracil 50 mg/mL Vial,Vial,INJECTABLE,1000.0,mg,ANDA210123,FLUOROURACIL,
